Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,Rate,K,Compression Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,45,1,0.1,2.455e-05,1.978e-05,2.08747455410933e-30,4312,4364,9.63118473862323e-15,0.0963558185417193,0.0963558185417097
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,46,1,0.1,2.4555e-05,2.0735e-05,5.3753571237665e-31,4312,4460,3.1641356201817e-15,0.0963558185417193,0.0963558185417225
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,47,1,0.1,3.294e-05,2.58e-05,1.27613337453862e-31,4312,4556,1.70696790036118e-15,0.0891207360061435,0.0891207360061418
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,48,1,0.1,2.547e-05,2.108e-05,3.28535923071531e-32,4312,4652,1.31838984174237e-15,0.0963558185417193,0.0963558185417206
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,49,1,0.1,2.5415e-05,2.134e-05,7.91139399375911e-33,4312,4748,4.44089209850063e-16,0.0963558185417193,0.0963558185417189
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,50,1,0.1,2.5945e-05,2.162e-05,2.02380086253748e-33,4312,4844,2.35922392732846e-16,0.0891207360061435,0.0891207360061438
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,51,1,0.1,2.627e-05,2.1905e-05,5.00166260017111e-34,4312,4940,1.38777878078145e-16,0.0963558185417193,0.0963558185417192
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,52,1,0.1,2.7495e-05,2.229e-05,1.43811963480451e-34,4312,5036,5.55111512312578e-17,0.0891207360061435,0.0891207360061436
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,53,1,0.1,2.7135e-05,2.2555e-05,3.01488403035238e-35,4312,5132,2.77555756156289e-17,0.0963558185417193,0.0963558185417193
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,54,1,0.1,2.7315e-05,2.282e-05,5.08412347435929e-36,4312,5228,1.38777878078145e-17,0.0717356090899523,0.0717356090899523
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,55,1,0.1,2.775e-05,2.325e-05,7.65423473669941e-37,4312,5324,1.38777878078145e-17,0.0963558185417193,0.0963558185417193
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,56,1,0.1,3.8035e-05,2.9625e-05,2.83568929435377e-38,4312,5420,3.46944695195361e-18,0.0198669330795061,0.0198669330795061
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,57,1,0.1,4.3075e-05,3.2475e-05,2.30355456040082e-40,4312,5516,3.52365706057789e-19,0,-3.52365706057789e-19
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,58,1,0.1,4.3665e-05,3.3005e-05,1.36305003574013e-42,4312,5612,2.71050543121376e-20,0,2.71050543121376e-20
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,59,1,0.1,3.4375e-05,2.814e-05,0,4312,5708,0,0,0
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,60,1,0.1,2.9825e-05,2.5555e-05,0,4312,5804,0,0,0
